Time / min,4-SO2Me-ArOPh,Product,Mass Balance
26.015,96.97704862,23.24713138,120.22418
26.26625,96.90290614,23.34601975,120.2489259
26.51806667,96.51463677,23.70098199,120.2156188
26.76956667,96.68160699,23.66181505,120.343422
27.01983333,96.44068518,23.77722456,120.2179097
27.26405,96.25228983,23.96434091,120.2166307
27.51553333,96.18896481,24.03920293,120.2281677
27.766,96.22054178,24.05273365,120.2732754
28.01698333,95.96643612,24.33369643,120.3001325
28.26913333,95.74840806,24.47027775,120.2186858
28.51943333,95.68222454,24.50120326,120.1834278
28.77093333,95.64689735,24.59443976,120.2413371
29.02243333,95.52129985,24.74389611,120.265196
29.26561667,95.36311495,24.85181047,120.2149254
29.51711667,95.10414353,25.03818129,120.1423248
29.7679,95.2094652,25.10147341,120.3109386
30.01903333,95.07540461,25.19957813,120.2749827
30.27093333,94.88197981,25.3120253,120.1940051
30.52165,94.85747359,25.38063491,120.2381085
30.77288333,94.73748656,25.56560451,120.3030911
31.01703333,94.48724093,25.78081374,120.2680547
31.26755,94.47650406,25.74564146,120.2221455
31.51911667,94.45930917,25.81015398,120.2694632
31.76981667,94.21037187,26.06680762,120.2771795
32.02223333,94.14866811,26.05438008,120.2030482
32.27251667,94.1321188,26.08795906,120.2200779
32.52401667,94.09920326,26.25687077,120.356074
32.76815,93.97679007,26.33285648,120.3096466
33.01861667,93.96218637,26.38819988,120.3503863
33.27011667,93.84762501,26.50073632,120.3483613
33.52056667,93.79790042,26.49198268,120.2898831
33.77208333,93.76621475,26.53384526,120.30006
34.02278333,93.70447574,26.62844941,120.3329252
34.27523333,93.455483,26.83114648,120.2866295
34.52616667,93.39140933,26.97755798,120.3689673
34.769,93.14487562,27.08764989,120.2325255
35.02076667,93.09585756,27.1636813,120.2595389
35.27226667,92.93920488,27.2920401,120.231245
35.5226,92.83461752,27.44098641,120.2756039
35.77358333,92.75233382,27.4224752,120.174809
36.0256,92.66234393,27.59759697,120.2599409
36.27685,92.6304702,27.62443058,120.2549008
36.51975,92.47459554,27.82697842,120.301574
36.77151667,92.4363329,27.89941377,120.3357467
37.02301667,92.27893435,27.98846801,120.2674024
37.27348333,92.24808935,28.01069269,120.258782
