T,A,P
126.1328,113.8467242,5.82510741
126.63225,114.1773517,5.933729438
127.1325333,114.3420641,6.016324151
127.6316833,114.2377601,6.131296805
128.1311,114.2470632,5.819961231
128.6313,113.9514714,5.855423356
129.13075,114.2187163,6.170825971
129.6303167,114.2906959,6.035034099
130.12955,114.2954505,6.105908064
130.6289833,114.1658571,6.321622971
131.1292167,113.8996562,6.047487863
131.6283667,113.8425177,6.223427001
132.1277833,113.6934905,6.072420828
132.6346333,113.7976761,6.107664907
133.1338667,113.8565456,6.222566353
133.6334,113.852044,6.339936398
134.1329667,114.1313429,6.229403176
134.6328167,114.1518984,6.254637908
135.1322667,114.0992634,6.446417287
135.6316167,113.6403003,6.106814098
136.1311667,113.7469484,6.402644661
136.6306667,113.786458,6.394766001
137.1302833,113.6605193,6.350599941
137.6297833,113.8269586,6.349313897
138.1293167,113.8769505,6.323182153
138.6293667,113.9935564,6.650591325
139.1357667,113.6281797,6.550113042
139.6353333,113.8319898,6.466360354
140.1349167,113.5012447,6.313929007
140.6356167,113.5351692,6.291188159
141.1349,113.4183826,6.282824625
141.6336333,113.5657498,6.67917224
142.1332333,113.4246216,6.542380044
142.6327833,113.426134,6.695915427
143.1323833,113.7462343,6.63194878
143.6319333,113.5699405,6.760405406
144.13145,113.4922184,6.617038409
144.63095,113.6741169,6.890508591
145.1317167,113.1363138,6.612061767
145.6301,113.3363596,6.559893421
146.1296333,113.3736652,6.70647859
146.63715,113.367601,6.687054923
147.13645,113.3401076,6.715255086
147.6357333,113.5246984,6.787228663
148.1360833,113.2012596,6.646866119
148.6352833,113.3662171,6.996002845
149.1347833,113.2521263,6.699612159
149.6350833,113.2135196,6.656740573
150.1346167,113.2587868,6.997329805
150.6329667,113.4331348,6.74721331
151.1325167,113.2817763,7.119222774
151.6320667,113.3190263,6.986670683
152.1316333,113.0192577,7.110172249
152.6313333,113.2174457,6.95818875
153.1318667,113.071141,6.835774823
153.6385,113.0017072,6.953520424
154.13805,113.1459313,6.9345231
154.6368333,113.1705309,6.994159184
155.1364333,113.1074958,7.200162232
155.636,113.0009724,6.929770665
156.1355667,113.0686378,7.004805483
156.63515,113.0202908,7.134140848
157.1347,113.0291977,7.452769013
157.63435,113.1603552,7.192169004
158.1351,112.882917,7.2363471
158.6335667,112.7815377,7.048269731
159.1331667,112.7542636,7.284909139
159.63305,112.6700732,7.171980074
160.13255,113.2410601,7.353141695
160.63285,113.166665,7.354755873
161.1324,113.0278957,7.272683344
161.6384833,112.863265,7.412597838
162.1380833,112.8210692,7.339099939
162.6376667,112.8089331,7.494504713
163.1385167,112.8793057,7.390887248
163.6369833,112.6324329,7.308614867
164.1366833,112.5481125,7.580079928
164.6365,112.7229394,7.436200464
165.136,112.7205267,7.584589137
165.6363,112.7496961,7.700715982
166.1358667,112.7667805,7.565814711
166.6351667,112.4996082,7.520413267
167.1347333,112.8798191,7.630337006
167.6350667,112.6100321,7.474089956
168.13465,112.4750598,7.474907411
168.634,112.7347363,7.857839485
169.1333833,112.3329573,7.667004572
169.6338,112.5073248,7.55511788
170.1332,112.629442,7.625579124
170.63995,112.4898948,7.660658392
171.1394667,112.3204819,7.901618059
171.63875,112.3974123,7.746486017
172.1382833,112.5463923,7.663271513
172.6386,112.1362432,7.6517208
173.1381667,112.4056123,7.710032711
173.63695,112.4524596,8.144275659
174.1365833,112.4236847,7.850091021
174.6361667,112.3558284,7.88035844
175.1357833,112.231816,7.81973041
175.6353167,112.2359665,7.865856803
176.13485,112.4376052,7.916302471
176.63445,112.1533077,7.952789629
177.1340667,112.1075304,7.622718341
